iter	Passed	Remaining
0	137	13564
1	278	13658
2	411	13306
3	540	12966
4	671	12752
5	803	12587
6	938	12463
7	1072	12337
8	1206	12195
9	1335	12020
10	1461	11827
11	1591	11670
12	1716	11484
13	1844	11332
14	1980	11224
15	2115	11103
16	2243	10955
17	2369	10794
18	2501	10663
19	2629	10519
20	2755	10365
21	2883	10223
22	3015	10094
23	3145	9959
24	3273	9821
25	3400	9677
26	3527	9537
27	3655	9400
28	3783	9263
29	3910	9125
30	4045	9003
31	4170	8861
32	4298	8726
33	4424	8588
34	4559	8467
35	4687	8332
36	4814	8197
37	4940	8061
38	5070	7931
39	5199	7799
40	5331	7672
41	5473	7558
42	5609	7435
43	5734	7298
44	5861	7163
45	5988	7030
46	6124	6905
47	6250	6771
48	6380	6640
49	6506	6506
50	6637	6377
51	6768	6247
52	6898	6117
53	7025	5984
54	7156	5854
55	7284	5723
56	7410	5590
57	7541	5460
58	7670	5330
59	7796	5197
60	7922	5065
61	8051	4934
62	8180	4804
63	8305	4671
64	8432	4540
65	8559	4409
66	8689	4279
67	8814	4147
68	8945	4018
69	9076	3890
70	9205	3759
71	9338	3631
72	9469	3502
73	9600	3373
74	9730	3243
75	9860	3113
76	9987	2983
77	10120	2854
78	10251	2725
79	10380	2595
80	10509	2465
81	10640	2335
82	10771	2206
83	10909	2078
84	11044	1949
85	11176	1819
86	11302	1688
87	11434	1559
88	11563	1429
89	11687	1298
90	11823	1169
91	11956	1039
92	12089	909
93	12217	779
94	12342	649
95	12469	519
96	12596	389
97	12724	259
98	12858	129
99	12985	0
